#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|        pruned_winner_output.bin|  3.77e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
          sts_serial|   6|    100000|     100|0.00000000|  FAILED  
          sts_serial|   6|    100000|     100|0.00000000|  FAILED  
          sts_serial|   7|    100000|     100|0.00000000|  FAILED  
          sts_serial|   7|    100000|     100|0.00000000|  FAILED  
          sts_serial|   8|    100000|     100|0.00000000|  FAILED  
          sts_serial|   8|    100000|     100|0.00000000|  FAILED  
          sts_serial|   9|    100000|     100|0.00000000|  FAILED  
          sts_serial|   9|    100000|     100|0.00000000|  FAILED  
          sts_serial|  10|    100000|     100|0.00000000|  FAILED  
          sts_serial|  10|    100000|     100|0.00000000|  FAILED  
          sts_serial|  11|    100000|     100|0.00000000|  FAILED  
          sts_serial|  11|    100000|     100|0.00000000|  FAILED  
          sts_serial|  12|    100000|     100|0.00000000|  FAILED  
          sts_serial|  12|    100000|     100|0.00000000|  FAILED  
          sts_serial|  13|    100000|     100|0.00000000|  FAILED  
          sts_serial|  13|    100000|     100|0.00000000|  FAILED  
          sts_serial|  14|    100000|     100|0.00000000|  FAILED  
          sts_serial|  14|    100000|     100|0.00000000|  FAILED  
          sts_serial|  15|    100000|     100|0.00000000|  FAILED  
          sts_serial|  15|    100000|     100|0.00000000|  FAILED  
          sts_serial|  16|    100000|     100|0.00000000|  FAILED  
          sts_serial|  16|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 62744959 times
         rgb_bitdist|   1|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 63514192 times
         rgb_bitdist|   2|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 64668040 times
         rgb_bitdist|   3|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 66206504 times
         rgb_bitdist|   4|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 68129582 times
         rgb_bitdist|   5|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 70437277 times
         rgb_bitdist|   6|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 73129586 times
         rgb_bitdist|   7|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 76206511 times
         rgb_bitdist|   8|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 79668052 times
         rgb_bitdist|   9|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 83514207 times
         rgb_bitdist|  10|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 87744979 times
         rgb_bitdist|  11|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 92360365 times
         rgb_bitdist|  12|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 92744980 times
rgb_minimum_distance|   2|     10000|    1000|0.00000000|  FAILED  
